site,account,displayname,password,group,permdisplay,permlogin,externalid,alias,permpassword,longschoolname,shortschoolname,countrycode
3,team1,team1,team1,Group Thing One,true,true,3001,,false,,,XXX
3,team2,team2,team2,Group Thing One,true,true,3002,,false,,,XXX
3,team3,team3,team3,Group Thing One,true,true,3003,,false,,,XXX
3,team4,team4,team4,Group Thing One,true,true,3004,,false,,,XXX
3,team5,team5,team5,Group Thing One,true,true,3005,,false,,,XXX
3,team6,team6,team6,Group Thing One,true,true,3006,,false,,,XXX
3,team7,team7,team7,Group Thing One,true,true,3007,,false,,,XXX
3,team8,team8,team8,Group Thing One,true,true,3008,,false,,,XXX
3,team9,team9,team9,Group Thing One,true,true,3009,,false,,,XXX
3,team10,team10,team10,Group Thing One,true,true,3010,,false,,,XXX
3,team11,team11,team11,Group Thing One,true,true,3011,,false,,,XXX
3,team12,team12,team12,Group Thing One,true,true,3012,,false,,,XXX
3,team13,team13,team13,Group Thing One,true,true,3013,,false,,,XXX
3,team14,team14,team14,Group Thing One,true,true,3014,,false,,,XXX
3,team15,team15,team15,Group Thing One,true,true,3015,,false,,,XXX
3,team16,team16,team16,Group Thing One,true,true,3016,,false,,,XXX
3,team17,team17,team17,Group Thing One,true,true,3017,,false,,,XXX
3,team18,team18,team18,Group Thing One,true,true,3018,,false,,,XXX
3,team19,team19,team19,Group Thing One,true,true,3019,,false,,,XXX
3,team20,team20,team20,Group Thing One,true,true,3020,,false,,,XXX
3,team21,team21,team21,Group Thing One,true,true,3021,,false,,,XXX
3,team22,team22,team22,Group Thing One,true,true,3022,,false,,,XXX
3,team23,team23,team23,Group Thing One,true,true,3023,,false,,,XXX
3,team24,team24,team24,Group Thing One,true,true,3024,,false,,,XXX
3,team25,team25,team25,Group Thing One,true,true,3025,,false,,,XXX
3,team26,team26,team26,Group Thing One,true,true,3026,,false,,,XXX
3,team27,team27,team27,Group Thing One,true,true,3027,,false,,,XXX
3,team28,team28,team28,Group Thing One,true,true,3028,,false,,,XXX
3,team29,team29,team29,Group Thing One,true,true,3029,,false,,,XXX
3,team30,team30,team30,Group Thing One,true,true,3030,,false,,,XXX
3,team31,team31,team31,Group Thing One,true,true,3031,,false,,,XXX
3,team32,team32,team32,Group Thing One,true,true,3032,,false,,,XXX
