site	account	displayname	password	group	permdisplay							
1	team55	55 - Whitworth Pirates (Whitworth)	Pteam55	Northeast - EWU, Cheney/Spokane D1	TRUE							
1	team56	56 - Whitworth Pirates (Whitworth)	Pteam56	Northeast - EWU, Cheney/Spokane D1	TRUE							
1	team102	102 - Whitworth Buccaneers (Whitworth)	Pteam102	Northeast - EWU, Cheney/Spokane D1	TRUE							
1	team103	103 - Whitworth Freebooters (Whitworth)	Pteam103	Northeast - EWU, Cheney/Spokane D1	TRUE							
1	team104	104 - Whitworth Corsairs (Whitworth)	Pteam104	Northeast - EWU, Cheney/Spokane D1	TRUE							
1	team105	105 - Eagle Black (EWU)	Pteam105	Northeast - EWU, Cheney/Spokane D1	TRUE							
1	team106	106 - Eagle Red (EWU)	Pteam106	Northeast - EWU, Cheney/Spokane D1	TRUE							
1	team107	107 - str8_2dabank (Gonzaga U.)	Pteam107	Northeast - EWU, Cheney/Spokane D1	TRUE							
1	team108	108 - Zags (Gonzaga U.)	Pteam108	Northeast - EWU, Cheney/Spokane D1	TRUE							
1	team109	109 - WSU 1 (WSU)	Pteam109	Northeast - EWU, Cheney/Spokane D1	TRUE							
1	team110	110 - Vandal Gold (U of I)	Pteam110	Northeast - EWU, Cheney/Spokane D1	TRUE							
1	team151	151 - D2 Eagle White (EWU)	Pteam151	Northeast - EWU, Cheney/Spokane D2	TRUE							
1	team152	152 - D2 Screaming Eagles (EWU)	Pteam152	Northeast - EWU, Cheney/Spokane D2	TRUE							
1	team153	153 - D2 The Eagle Has Landed (EWU)	Pteam153	Northeast - EWU, Cheney/Spokane D2	TRUE							
1	team154	154 - D2 Eagle > Drone (EWU)	Pteam154	Northeast - EWU, Cheney/Spokane D2	TRUE							
1	team155	155 - D2 Reagle Eagles (EWU)	Pteam155	Northeast - EWU, Cheney/Spokane D2	TRUE							
1	team156	156 - D2 We got Class (Gonzaga U.)	Pteam156	Northeast - EWU, Cheney/Spokane D2	TRUE							
1	team157	157 - D2 3AGL3S (EWU)	Pteam157	Northeast - EWU, Cheney/Spokane D2	TRUE							
1	team158	158 - D2-Vandal Silver (U of I)	Pteam158	Northeast - EWU, Cheney/Spokane D2	TRUE							
1	team159	159 - D2-Vandal Black (U of I)	Pteam159	Northeast - EWU, Cheney/Spokane D2	TRUE							
1	team201	201 - uffer Ring B (George Fox)	Pteam201	Northwest - George Fox University D1	TRUE							
1	team202	202 - Proof by Excessive Hand Waving (George Fox)	Pteam202	Northwest - George Fox University D1	TRUE							
1	team203	203 - <h1>[whatever]</h1> (George Fox)	Pteam203	Northwest - George Fox University D1	TRUE							
1	team204	204 - short int / long jacket (U of Oregon)	Pteam204	Northwest - George Fox University D1	TRUE							
1	team205	205 - Algogriffins 1 (Reed)	Pteam205	Northwest - George Fox University D1	TRUE							
1	team207	207 - 2B || !2B (UP)	Pteam207	Northwest - George Fox University D1	TRUE							
1	team208	208 - LC D1 (Lewis & Clark)	Pteam208	Northwest - George Fox University D1	TRUE							
1	team209	209 - Too Simple Sometimes Naive (PSU)	Pteam209	Northwest - George Fox University D1	TRUE							
1	team210	210 - DROP TABLE teams (OSU)	Pteam210	Northwest - George Fox University D1	TRUE							
1	team211	211 - OSU Beaver (OSU)	Pteam211	Northwest - George Fox University D1	TRUE							
1	team251	251 - D2 MSDMSMPMCRAPAFRRFTC (George Fox)	Pteam251	Northwest - George Fox University D2	TRUE							
1	team252	252 - D2 The Front Row (George Fox)	Pteam252	Northwest - George Fox University D2	TRUE							
1	team253	253 - D2 Byte Our Dust (George Fox)	Pteam253	Northwest - George Fox University D2	TRUE							
1	team254	254 - D2 Classy Foos (George Fox)	Pteam254	Northwest - George Fox University D2	TRUE							
1	team255	255 - D2-UO-placeholder-name (U of Oregon)	Pteam255	Northwest - George Fox University D2	TRUE							
1	team256	256 - D2 Linfield 1 (Linfield)	Pteam256	Northwest - George Fox University D2	TRUE							
1	team57	57 - Whitworth Pirates (Whitworth)	Pteam57	Northeast - EWU, Cheney/Spokane D1	TRUE							
