site	account	displayname	password	group	permdisplay	permlogin	externalid	alias	permpassword	longschoolname	shortschoolname	countrycode
1	administrator1	administrator1	administrator1		false	true	1001		true			XXX
1	team1	team1	team1		true	true	1001		false			XXX
1	team2	team2	team2		true	true	1002		false			XXX
1	team3	team3	team3		true	true	1003		false			XXX
1	team4	team4	team4		true	true	1004		false			XXX
1	team5	team5	team5		true	true	1005		false			XXX
1	team6	team6	team6		true	true	1006		false			XXX
1	team7	team7	team7		true	true	1007		false			XXX
1	team8	team8	team8		true	true	1008		false			XXX
1	team9	team9	team9		true	true	1009		false			XXX
1	team10	team10	team10		true	true	1010		false			XXX
1	team11	team11	team11		true	true	1011		false			XXX
1	team12	team12	team12		true	true	1012		false			XXX
1	team13	team13	team13		true	true	1013		false			XXX
1	team14	team14	team14		true	true	1014		false			XXX
1	team15	team15	team15		true	true	1015		false			XXX
1	team16	team16	team16		true	true	1016		false			XXX
1	team17	team17	team17		true	true	1017		false			XXX
1	team18	team18	team18		true	true	1018		false			XXX
1	team19	team19	team19		true	true	1019		false			XXX
1	team20	team20	team20		true	true	1020		false			XXX
1	team21	team21	team21		true	true	1021		false			XXX
1	team22	team22	team22		true	true	1022		false			XXX
1	team23	team23	team23		true	true	1023		false			XXX
1	team24	team24	team24		true	true	1024		false			XXX
1	team25	team25	team25		true	true	1025		false			XXX
1	team26	team26	team26		true	true	1026		false			XXX
1	team27	team27	team27		true	true	1027		false			XXX
1	team28	team28	team28		true	true	1028		false			XXX
1	team29	team29	team29		true	true	1029		false			XXX
1	team30	team30	team30		true	true	1030		false			XXX
1	team31	team31	team31		true	true	1031		false			XXX
1	team32	team32	team32		true	true	1032		false			XXX
1	team33	team33	team33		true	true	1033		false			XXX
1	team34	team34	team34		true	true	1034		false			XXX
1	team35	team35	team35		true	true	1035		false			XXX
1	team36	team36	team36		true	true	1036		false			XXX
1	team37	team37	team37		true	true	1037		false			XXX
1	team38	team38	team38		true	true	1038		false			XXX
1	team39	team39	team39		true	true	1039		false			XXX
1	team40	team40	team40		true	true	1040		false			XXX
1	team41	team41	team41		true	true	1041		false			XXX
1	team42	team42	team42		true	true	1042		false			XXX
1	team43	team43	team43		true	true	1043		false			XXX
1	team44	team44	team44		true	true	1044		false			XXX
1	team45	team45	team45		true	true	1045		false			XXX
1	team46	team46	team46		true	true	1046		false			XXX
1	team47	team47	team47		true	true	1047		false			XXX
1	team48	team48	team48		true	true	1048		false			XXX
1	team49	team49	team49		true	true	1049		false			XXX
1	team50	team50	team50		true	true	1050		false			XXX
1	team51	team51	team51		true	true	1051		false			XXX
1	team52	team52	team52		true	true	1052		false			XXX
1	team53	team53	team53		true	true	1053		false			XXX
1	team54	team54	team54		true	true	1054		false			XXX
1	team55	team55	team55		true	true	1055		false			XXX
1	team56	team56	team56		true	true	1056		false			XXX
1	team57	team57	team57		true	true	1057		false			XXX
1	team58	team58	team58		true	true	1058		false			XXX
1	team59	team59	team59		true	true	1059		false			XXX
1	team60	team60	team60		true	true	1060		false			XXX
1	team61	team61	team61		true	true	1061		false			XXX
1	team62	team62	team62		true	true	1062		false			XXX
1	team63	team63	team63		true	true	1063		false			XXX
1	team64	team64	team64		true	true	1064		false			XXX
1	team65	team65	team65		true	true	1065		false			XXX
1	team66	team66	team66		true	true	1066		false			XXX
1	team67	team67	team67		true	true	1067		false			XXX
1	team68	team68	team68		true	true	1068		false			XXX
1	team69	team69	team69		true	true	1069		false			XXX
1	team70	team70	team70		true	true	1070		false			XXX
1	team71	team71	team71		true	true	1071		false			XXX
1	team72	team72	team72		true	true	1072		false			XXX
1	team73	team73	team73		true	true	1073		false			XXX
1	team74	team74	team74		true	true	1074		false			XXX
1	team75	team75	team75		true	true	1075		false			XXX
1	team76	team76	team76		true	true	1076		false			XXX
1	team77	team77	team77		true	true	1077		false			XXX
1	team78	team78	team78		true	true	1078		false			XXX
1	team79	team79	team79		true	true	1079		false			XXX
1	team80	team80	team80		true	true	1080		false			XXX
1	team81	team81	team81		true	true	1081		false			XXX
1	team82	team82	team82		true	true	1082		false			XXX
1	team83	team83	team83		true	true	1083		false			XXX
1	team84	team84	team84		true	true	1084		false			XXX
1	team85	team85	team85		true	true	1085		false			XXX
1	team86	team86	team86		true	true	1086		false			XXX
1	team87	team87	team87		true	true	1087		false			XXX
1	team88	team88	team88		true	true	1088		false			XXX
1	team89	team89	team89		true	true	1089		false			XXX
1	team90	team90	team90		true	true	1090		false			XXX
1	team91	team91	team91		true	true	1091		false			XXX
1	team92	team92	team92		true	true	1092		false			XXX
1	team93	team93	team93		true	true	1093		false			XXX
1	team94	team94	team94		true	true	1094		false			XXX
1	team95	team95	team95		true	true	1095		false			XXX
1	team96	team96	team96		true	true	1096		false			XXX
1	team97	team97	team97		true	true	1097		false			XXX
1	team98	team98	team98		true	true	1098		false			XXX
1	team99	team99	team99		true	true	1099		false			XXX
1	team100	team100	team100		true	true	1100		false			XXX
1	team101	team101	team101		true	true	1101		false			XXX
1	team102	team102	team102		true	true	1102		false			XXX
1	team103	team103	team103		true	true	1103		false			XXX
